"name","citationCount","citerCount"
"Edward R B McCabe","0","0"
"Edward W Frees","0","0"
"Edwin S Iversen Jr","0","0"
"Efang Kong","3","7"
"Efi S Antoniou","0","0"
"Efstathios Paparoditis","2","5"
"Efthymios G Tsionas","0","0"
"Egil Ferkingstad","4","7"
"Ehab F Abd-Elfattah","0","0"
"Eilon Solan","0","0"
"Einar Andreas Rodland","0","0"
"Eiran Z Gorodeski","1","2"
"Eitan Greenshtein","9","13"
"Elaine Zanutto","2","5"
"Elena Kulinskaya","0","0"
"Elena Stanghellini","2","3"
"Elias Moreno","6","11"
"Elinor Ytterstad","0","0"
"Elizabeth A Stuart","2","4"
"Elizabeth A Thompson","0","0"
"Elizabeth H Slate","0","0"
"Elizabeth S Allman","3","8"
"Elizaveta Levina","60","69"
"Ellen J MacKenzie","0","0"
"elodie Nedelec","7","12"
"Eloise E Kaizar","0","0"
"Els Goetghebeur","8","16"
"Elvezio Ronchetti","11","19"
"Emiliano A Valdez","0","0"
"Emilio Porcu","0","0"
"Emilio Seijo","0","0"
"Emily C Martin","2","4"
"Emily L Kang","0","0"
"Emma F Eastoe","0","0"
"Emma J McCoy","0","0"
"Emmanuel Gobet","2","5"
"Emmanuel Guerre","0","0"
"Emmanuel J Candes","55","102"
"Emmanuel Lesaffre","0","0"
"Emmanuel Yashchin","0","0"
"Emmanuelle Varon","0","0"
"Enno Mammen","36","48"
"Enrique Castillo","0","0"
"Enrique Schisterman","0","0"
"Eric A Cator","1","1"
"Eric Aldrich","4","8"
"Eric B Laber","0","0"
"Eric Bair","6","18"
"Eric D Kolaczyk","1","3"
"Eric J Feuer","2","5"
"Eric J Tchetgen","5","6"
"Eric Johnson","0","0"
"eric Moulines","4","7"
"Eric Moulines","3","7"
"Eric Parent","0","0"
"Eric V Slud","1","4"
"Erica E M Moodie","0","0"
"Erika Antal","0","0"
"Erin E Peterson","0","0"
"Ery Arias-Castro","6","16"
"Esa Ollila","0","0"
"Esben Budtz-Jorgensen","0","0"
"Estate V Khmaladze","2","5"
"Ethan B Anderes","2","2"
"Etienne Josserand","0","0"
"Etienne Roquain","4","7"
"Eugene E Clothiaux","0","0"
